idRisultato,gara,posizionePartenza,posizioneArrivo,ritiro,tempoTotale,giroVeloce,giriInTesta
0000341,000014,21,17,0,00:00:00,00:00:00,0
0000342,000014,26,18,0,00:00:00,00:00:00,0
0000343,000014,29,19,0,00:00:00,00:00:00,0
0000344,000014,13,20,1,00:00:00,00:00:00,0
0000345,000014,19,21,1,00:00:00,00:00:00,0
0000346,000014,20,22,1,00:00:00,00:00:00,0
0000347,000014,23,23,1,00:00:00,00:00:00,0
0000348,000014,28,24,1,00:00:00,00:00:00,0
0000349,000014,1,25,1,00:00:00,00:00:00,0
0000350,000014,14,26,1,00:00:00,00:00:00,0
0000351,000014,2,27,1,00:00:00,00:00:00,0
0000352,000014,24,28,1,00:00:00,00:00:00,0
0000353,000014,27,29,1,00:00:00,00:00:00,0
0000354,000025,1,1,0,00:00:00,00:00:00,0
0000355,000025,11,2,0,00:00:00,00:00:00,0
0000356,000025,2,3,0,00:00:00,00:00:00,0
0000357,000025,4,4,0,00:00:00,00:00:00,0
0000358,000025,9,5,0,00:00:00,00:00:00,0
0000359,000025,10,6,0,00:00:00,00:00:00,0
0000360,000025,6,7,0,00:00:00,00:00:00,0
0000361,000025,18,8,0,00:00:00,00:00:00,0
0000362,000025,13,9,0,00:00:00,00:00:00,0
0000363,000025,5,10,0,00:00:00,00:00:00,0
0000364,000025,21,11,0,00:00:00,00:00:00,0
0000365,000025,14,12,0,00:00:00,00:00:00,0
0000366,000025,23,13,0,00:00:00,00:00:00,0
0000367,000025,16,14,0,00:00:00,00:00:00,0
0000368,000025,15,15,0,00:00:00,00:00:00,0
0000369,000025,17,16,0,00:00:00,00:00:00,0
0000370,000025,22,17,0,00:00:00,00:00:00,0
0000371,000025,24,18,0,00:00:00,00:00:00,0
0000372,000025,26,19,0,00:00:00,00:00:00,0
0000373,000025,25,20,0,00:00:00,00:00:00,0
0000374,000025,20,21,0,00:00:00,00:00:00,0
0000375,000025,28,22,0,00:00:00,00:00:00,0
0000376,000025,29,23,0,00:00:00,00:00:00,0
0000377,000025,12,24,1,00:00:00,00:00:00,0
0000378,000025,15,25,1,00:00:00,00:00:00,0
0000379,000025,19,26,1,00:00:00,00:00:00,0
0000380,000025,3,27,1,00:00:00,00:00:00,0
0000381,000025,7,28,1,00:00:00,00:00:00,0
0000382,000025,27,29,1,00:00:00,00:00:00,0
0000383,000024,6,1,0,00:00:00,00:00:00,0
0000384,000024,8,2,0,00:00:00,00:00:00,0
0000385,000024,1,3,0,00:00:00,00:00:00,0
0000386,000024,7,4,0,00:00:00,00:00:00,0
0000387,000024,9,5,0,00:00:00,00:00:00,0
0000388,000024,4,6,0,00:00:00,00:00:00,0
0000389,000024,11,7,0,00:00:00,00:00:00,0
0000390,000024,13,8,0,00:00:00,00:00:00,0
0000391,000024,19,9,0,00:00:00,00:00:00,0
0000392,000024,20,10,0,00:00:00,00:00:00,0
0000393,000024,25,11,0,00:00:00,00:00:00,0
0000394,000024,28,12,0,00:00:00,00:00:00,0
0000395,000024,18,13,0,00:00:00,00:00:00,0
0000396,000024,3,14,0,00:00:00,00:00:00,0
0000397,000024,16,15,0,00:00:00,00:00:00,0
0000398,000024,23,16,0,00:00:00,00:00:00,0
0000399,000024,5,17,0,00:00:00,00:00:00,0
0000400,000024,22,18,0,00:00:00,00:00:00,0
0000401,000024,24,19,0,00:00:00,00:00:00,0
0000402,000024,27,20,0,00:00:00,00:00:00,0
0000403,000024,26,21,0,00:00:00,00:00:00,0
0000404,000024,10,22,1,00:00:00,00:00:00,0
0000405,000024,15,23,0,00:00:00,00:00:00,0
0000406,000024,21,24,1,00:00:00,00:00:00,0
0000407,000024,12,25,1,00:00:00,00:00:00,0
0000408,000024,17,26,1,00:00:00,00:00:00,0
0000409,000024,2,27,1,00:00:00,00:00:00,0
0000410,000024,14,28,1,00:00:00,00:00:00,0
0000411,000023,3,1,0,00:00:00,00:00:00,0
0000412,000023,6,2,0,00:00:00,00:00:00,0
0000413,000023,11,3,0,00:00:00,00:00:00,0
0000414,000023,9,4,0,00:00:00,00:00:00,0
0000415,000023,5,5,0,00:00:00,00:00:00,0
0000416,000023,18,6,0,00:00:00,00:00:00,0
0000417,000023,28,7,0,00:00:00,00:00:00,0
0000418,000023,27,8,0,00:00:00,00:00:00,0
0000419,000023,4,9,0,00:00:00,00:00:00,0
0000420,000023,10,10,0,00:00:00,00:00:00,0
0000421,000023,7,11,0,00:00:00,00:00:00,0
0000422,000023,13,12,0,00:00:00,00:00:00,0
0000423,000023,16,13,0,00:00:00,00:00:00,0
0000424,000023,20,14,0,00:00:00,00:00:00,0
0000425,000023,14,15,0,00:00:00,00:00:00,0
0000426,000023,12,16,0,00:00:00,00:00:00,0
0000427,000023,15,17,0,00:00:00,00:00:00,0
0000428,000023,24,18,0,00:00:00,00:00:00,0
0000429,000023,22,19,0,00:00:00,00:00:00,0
0000430,000023,23,20,0,00:00:00,00:00:00,0
0000431,000023,25,21,0,00:00:00,00:00:00,0
0000432,000023,26,22,0,00:00:00,00:00:00,0
0000433,000023,1,23,0,00:00:00,00:00:00,0
0000434,000023,2,24,1,00:00:00,00:00:00,0
